Grapheme	IPA	Frequency	Codepoints
k	k	4432	U+006B
ɔ	ɔ	3203	U+0254
a	a	3193	U+0061
i	i	2345	U+0069
ʔ	ʔ	2305	U+0294
n	n	2010	U+006E
ə	ə	1909	U+0259
p	p	1777	U+0070
ŋ	ŋ	1636	U+014B
t	t	1553	U+0074
l	l	1430	U+006C
ua	ua	1368	U+0075 U+0061
m	m	1329	U+006D
y	y	1241	U+0079
kʰ	kʰ	1211	U+006B U+02B0
h	h	1168	U+0068
tʃ	tʃ	932	U+0074 U+0283
θ	θ	930	U+03B8
tʰ	tʰ	751	U+0074 U+02B0
o	o	597	U+006F
u	u	566	U+0075
ei	ei	526	U+0065 U+0069
ɲ	ɲ	502	U+0272
ia	ia	462	U+0069 U+0061
v	v	389	U+0076
pʰ	pʰ	357	U+0070 U+02B0
iɛ	iɛ	338	U+0069 U+025B
r	r	323	U+0072
s	s	322	U+0073
e	e	275	U+0065
ʃ	ʃ	263	U+0283
j	j	233	U+006A
ɣ	ɣ	232	U+0263
*	*	174	U+002A
z	z	172	U+007A
ʒ	ʒ	162	U+0292
ɛ	ɛ	122	U+025B
uo	uo	114	U+0075 U+006F
ø	ø	110	U+00F8
w	w	82	U+0077
x	x	81	U+0078
ai	ai	45	U+0061 U+0069
ue	ue	41	U+0075 U+0065
ie	ie	31	U+0069 U+0065
au	au	23	U+0061 U+0075
g	g	17	U+0067
ou	ou	16	U+006F U+0075
d	d	10	U+0064
b	b	8	U+0062
uɛ	uɛ	8	U+0075 U+025B
io	io	6	U+0069 U+006F
ui	ui	3	U+0075 U+0069
uɔ	uɔ	3	U+0075 U+0254
ɔu	ɔu	3	U+0254 U+0075
ea	ea	2	U+0065 U+0061
tʃʰ	tʃʰ	2	U+0074 U+0283 U+02B0
͏	͏	2	U+034F
/	/	1	U+002F
iɔ	iɔ	1	U+0069 U+0254
oa	oa	1	U+006F U+0061
uu	uu	1	U+0075 U+0075
ya	ya	1	U+0079 U+0061
